DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC
232012455;07/04/2023 12:00:00 AM;Olympic    ;BATTERY WITH SEXUAL CONTACT                             ;07/04/2023 12:00:00 AM;530
232010955;05/31/2023 12:00:00 AM;Olympic    ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;05/20/2023 12:00:00 AM;1100
232013611;08/01/2023 12:00:00 AM;Olympic    ;BURGLARY FROM VEHICLE                                   ;08/01/2023 12:00:00 AM;200
232013469;07/30/2023 12:00:00 AM;Olympic    ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;07/30/2023 12:00:00 AM;1500
232007568;03/29/2023 12:00:00 AM;Olympic    ;BURGLARY                                                ;03/29/2023 12:00:00 AM;1130
232010214;05/14/2023 12:00:00 AM;Olympic    ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;05/14/2023 12:00:00 AM;1735
232005886;02/16/2023 12:00:00 AM;Olympic    ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;02/15/2023 12:00:00 AM;1600
232016680;10/16/2023 12:00:00 AM;Olympic    ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;10/15/2023 12:00:00 AM;1430
232008235;04/15/2023 12:00:00 AM;Olympic    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;04/15/2023 12:00:00 AM;730
232009330;05/06/2023 12:00:00 AM;Olympic    ;BURGLARY                                                ;05/06/2023 12:00:00 AM;2045
232013409;07/28/2023 12:00:00 AM;Olympic    ;BURGLARY, ATTEMPTED                                     ;07/28/2023 12:00:00 AM;1200
232010868;05/29/2023 12:00:00 AM;Olympic    ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  ;05/29/2023 12:00:00 AM;415
232018989;12/07/2023 12:00:00 AM;Olympic    ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;12/07/2023 12:00:00 AM;2020
232011988;06/23/2023 12:00:00 AM;Olympic    ;ROBBERY                                                 ;06/22/2023 12:00:00 AM;2240
232005275;01/30/2023 12:00:00 AM;Olympic    ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;01/30/2023 12:00:00 AM;735
242004403;01/12/2024 12:00:00 AM;Olympic    ;BRANDISH WEAPON                                         ;12/21/2023 12:00:00 AM;2200
232008811;04/26/2023 12:00:00 AM;Olympic    ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;04/01/2023 12:00:00 AM;1855
232014633;08/26/2023 12:00:00 AM;Olympic    ;BURGLARY                                                ;08/25/2023 12:00:00 AM;1700
232017143;10/26/2023 12:00:00 AM;Olympic    ;BURGLARY FROM VEHICLE                                   ;10/25/2023 12:00:00 AM;1300
232019451;12/19/2023 12:00:00 AM;Olympic    ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;12/19/2023 12:00:00 AM;1430
232009587;03/08/2023 12:00:00 AM;Olympic    ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;03/08/2023 12:00:00 AM;200
232017670;11/06/2023 12:00:00 AM;Olympic    ;BATTERY - SIMPLE ASSAULT                                ;11/06/2023 12:00:00 AM;1300
232005852;02/14/2023 12:00:00 AM;Olympic    ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;02/13/2023 12:00:00 AM;1700
232014990;09/04/2023 12:00:00 AM;Olympic    ;BURGLARY FROM VEHICLE                                   ;09/03/2023 12:00:00 AM;1450
232011737;06/18/2023 12:00:00 AM;Olympic    ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;06/18/2023 12:00:00 AM;930
232007375;03/26/2023 12:00:00 AM;Olympic    ;VEHICLE - STOLEN                                        ;03/26/2023 12:00:00 AM;100
232019550;12/21/2023 12:00:00 AM;Olympic    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;12/21/2023 12:00:00 AM;130
232013792;08/07/2023 12:00:00 AM;Olympic    ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  ;08/07/2023 12:00:00 AM;1210
232019455;12/19/2023 12:00:00 AM;Olympic    ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;12/18/2023 12:00:00 AM;2218
232016848;10/18/2023 12:00:00 AM;Olympic    ;BATTERY - SIMPLE ASSAULT                                ;10/18/2023 12:00:00 AM;1730
232016545;10/04/2023 12:00:00 AM;Olympic    ;BURGLARY FROM VEHICLE                                   ;10/04/2023 12:00:00 AM;200
