DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC
200504009;01/01/2020 12:00:00 AM;Harbor     ;OTHER MISCELLANEOUS CRIME                               ;01/01/2020 12:00:00 AM;2100
220512024;08/01/2022 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;08/11/2020 12:00:00 AM;1200
220510443;06/21/2022 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;12/28/2020 12:00:00 AM;1200
230509206;05/25/2023 12:00:00 AM;Harbor     ;SEX OFFENDER REGISTRANT OUT OF COMPLIANCE               ;08/25/2020 12:00:00 AM;1
220506811;03/14/2022 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;10/11/2020 12:00:00 AM;1055
220515779;11/08/2022 12:00:00 AM;Harbor     ;SEX OFFENDER REGISTRANT OUT OF COMPLIANCE               ;03/02/2020 12:00:00 AM;1
230506907;03/21/2023 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        ;12/23/2020 12:00:00 AM;1200
220507430;03/31/2022 12:00:00 AM;Harbor     ;DOCUMENT FORGERY / STOLEN FELONY                        ;09/20/2020 12:00:00 AM;1200
230510213;06/21/2023 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;04/20/2020 12:00:00 AM;1025
200516527;11/12/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        ;11/12/2020 12:00:00 AM;430
200514277;09/17/2020 12:00:00 AM;Harbor     ;VIOLATION OF RESTRAINING ORDER                          ;09/17/2020 12:00:00 AM;2255
200506268;02/22/2020 12:00:00 AM;Harbor     ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;02/22/2020 12:00:00 AM;1900
200506936;03/09/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        ;03/08/2020 12:00:00 AM;1830
200513373;08/25/2020 12:00:00 AM;Harbor     ;BURGLARY                                                ;08/11/2020 12:00:00 AM;246
200510994;06/25/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        ;06/25/2020 12:00:00 AM;230
200517895;12/16/2020 12:00:00 AM;Harbor     ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  ;12/16/2020 12:00:00 AM;2125
200516175;11/04/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        ;11/04/2020 12:00:00 AM;1300
200517231;11/29/2020 12:00:00 AM;Harbor     ;BATTERY - SIMPLE ASSAULT                                ;11/29/2020 12:00:00 AM;1900
200512066;07/20/2020 12:00:00 AM;Harbor     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;07/20/2020 12:00:00 AM;750
200516455;11/10/2020 12:00:00 AM;Harbor     ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;11/10/2020 12:00:00 AM;1130
200512280;07/24/2020 12:00:00 AM;Harbor     ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;07/24/2020 12:00:00 AM;1600
