DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC
230319020;10/15/2023 12:00:00 AM;Southwest  ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;06/04/2020 12:00:00 AM;1300
230306587;02/18/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;05/10/2020 12:00:00 AM;955
230320445;11/13/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;04/07/2020 12:00:00 AM;1225
200316510;08/30/2020 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;08/29/2020 12:00:00 AM;2050
220319477;10/27/2022 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;07/01/2020 12:00:00 AM;1200
220309773;04/19/2022 12:00:00 AM;Southwest  ;RAPE, FORCIBLE                                          ;01/01/2020 12:00:00 AM;800
230304296;01/04/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;07/19/2020 12:00:00 AM;1030
230321514;04/24/2020 12:00:00 AM;Southwest  ;SEX OFFENDER REGISTRANT OUT OF COMPLIANCE               ;04/24/2020 12:00:00 AM;1
220305266;01/24/2022 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;10/12/2020 12:00:00 AM;5
230304894;01/19/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;09/13/2020 12:00:00 AM;130
220304560;01/13/2022 12:00:00 AM;Southwest  ;BATTERY WITH SEXUAL CONTACT                             ;01/13/2020 12:00:00 AM;2220
220307553;03/16/2022 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;05/01/2020 12:00:00 AM;500
230310373;05/04/2023 12:00:00 AM;Southwest  ;RAPE, FORCIBLE                                          ;05/28/2020 12:00:00 AM;1900
230316427;09/06/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;09/09/2020 12:00:00 AM;1825
230308067;03/20/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;02/23/2020 12:00:00 AM;55
230307392;03/06/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;07/01/2020 12:00:00 AM;1420
230309970;04/26/2023 12:00:00 AM;Southwest  ;EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)              ;06/01/2020 12:00:00 AM;800
220310410;05/10/2020 12:00:00 AM;Southwest  ;BURGLARY                                                ;05/09/2020 12:00:00 AM;2020
230316996;09/21/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;05/14/2020 12:00:00 AM;1525
200309451;04/04/2020 12:00:00 AM;Southwest  ;BURGLARY                                                ;04/04/2020 12:00:00 AM;1210
200320615;11/18/2020 12:00:00 AM;Southwest  ;BIKE - STOLEN                                           ;11/11/2020 12:00:00 AM;2300
200310566;04/25/2020 12:00:00 AM;Southwest  ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;04/25/2020 12:00:00 AM;950
200311518;05/18/2020 12:00:00 AM;Southwest  ;VEHICLE - ATTEMPT STOLEN                                ;05/14/2020 12:00:00 AM;1900
200304274;01/05/2020 12:00:00 AM;Southwest  ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;01/04/2020 12:00:00 AM;2030
200316872;09/04/2020 12:00:00 AM;Southwest  ;BURGLARY FROM VEHICLE                                   ;09/03/2020 12:00:00 AM;900
200312493;06/10/2020 12:00:00 AM;Southwest  ;EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)              ;05/25/2020 12:00:00 AM;1500
200318436;10/05/2020 12:00:00 AM;Southwest  ;BATTERY - SIMPLE ASSAULT                                ;10/05/2020 12:00:00 AM;2250
200312753;06/16/2020 12:00:00 AM;Southwest  ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                ;06/16/2020 12:00:00 AM;720
200321494;12/08/2020 12:00:00 AM;Southwest  ;BURGLARY FROM VEHICLE                                   ;12/07/2020 12:00:00 AM;1700
200310910;05/05/2020 12:00:00 AM;Southwest  ;BATTERY - SIMPLE ASSAULT                                ;05/05/2020 12:00:00 AM;1130
200307284;02/24/2020 12:00:00 AM;Southwest  ;RAPE, FORCIBLE                                          ;02/23/2020 12:00:00 AM;1200
200315866;08/16/2020 12:00:00 AM;Southwest  ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;08/16/2020 12:00:00 AM;1310
200320495;11/17/2020 12:00:00 AM;Southwest  ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;11/16/2020 12:00:00 AM;2115
200306462;02/10/2020 12:00:00 AM;Southwest  ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;02/08/2020 12:00:00 AM;45
200321686;12/13/2020 12:00:00 AM;Southwest  ;BRANDISH WEAPON                                         ;12/13/2020 12:00:00 AM;2125
200308939;03/23/2020 12:00:00 AM;Southwest  ;VIOLATION OF COURT ORDER                                ;03/23/2020 12:00:00 AM;1200
