n,source,target,time_dijkstra (seconds),dist_dijkstra (euclidean_distance),time_turbo (seconds),dist_turbo (euclidean_distance),ok_same_distance,graph_size,graph_id,seed
1000,128,367,0.00565270002698525786,1.18307562203181637628,0.06800669996300712228,1.18307562203181637628,True,1000,5,2131
1000,512,84,0.00650239997776225209,1.13303860425463853723,0.06294809997780248523,1.13303860425463853723,True,1000,6,2132
1000,611,404,0.00851260003400966525,1.20256085165563275652,0.06863809999777004123,1.20256085165563275652,True,1000,7,2133
1000,394,622,0.00621100002899765968,0.89719125716140424309,0.06687870004680007696,0.89719125716140424309,True,1000,8,2134
1000,524,764,0.00695700000505894423,0.84764209902161868904,0.06973909999942407012,0.84764209902161868904,True,1000,9,2135
1000,449,686,0.00494639994576573372,1.29984231213091416812,0.06087370001478120685,1.29984231213091416812,True,1000,10,2136
1000,996,976,0.00452010001754388213,1.00620420851657121908,0.05759260000195354223,1.00620420851657121908,True,1000,11,2137
1000,290,708,0.00627459998941048980,1.03286216148293763517,0.05735960003221407533,1.03286216148293763517,True,1000,12,2138
1000,770,841,0.00556150003103539348,0.74427232302248791385,0.05623290000949054956,0.74427232302248791385,True,1000,13,2139
1000,804,870,0.00475570000708103180,0.89043459744772979203,0.05652410001493990421,0.89043459744772979203,True,1000,14,2140
1000,729,655,0.00483589997747913003,1.18115757619082195617,0.08855939999921247363,1.18115757619082195617,True,1000,15,2141
1000,838,720,0.00472650001756846905,1.04384487249104185302,0.05636930000036954880,1.04384487249104185302,True,1000,16,2142
1000,564,949,0.00506669998867437243,1.25057439476702425551,0.05975860002217814326,1.25057439476702425551,True,1000,17,2143
1000,64,632,0.00473069999134168029,0.93062804780764984969,0.05661339999642223120,0.93062804780764984969,True,1000,18,2144
1000,914,226,0.00436700001591816545,0.78343444839753217934,0.06011369999032467604,0.78343444839753217934,True,1000,19,2145
1000,714,357,0.00584140000864863396,1.05130016124493019802,0.05800049996469169855,1.05130016124493019802,True,1000,20,2146
1000,908,920,0.00616920000175014138,0.99238540393523566596,0.05623390001710504293,0.99238540393523566596,True,1000,21,2147
1000,572,321,0.00657269998919218779,1.10621198012156995993,0.05508419999387115240,1.10621198012156995993,True,1000,22,2148
1000,26,207,0.00504999997792765498,1.09325817521545465283,0.05880220001563429832,1.09325817521545465283,True,1000,23,2149
1000,673,729,0.00437929999316111207,1.04620684739411906605,0.06177880003815516829,1.04620684739411906605,True,1000,24,2150
1000,761,996,0.00438409997150301933,0.88916333474913522572,0.05741870001656934619,0.88916333474913522572,True,1000,25,2151
1000,256,844,0.00597379996906965971,1.14482166201266721828,0.05867070000385865569,1.14482166201266721828,True,1000,26,2152
1000,490,767,0.00455690000671893358,1.15630661888015406902,0.05876949999947100878,1.15630661888015406902,True,1000,27,2153
1000,587,832,0.00469770003110170364,1.01610511517364443534,0.05899959994712844491,1.01610511517364443534,True,1000,28,2154
1000,918,429,0.00661589996889233589,1.08555763175684183430,0.05808240000624209642,1.08555763175684183430,True,1000,29,2155
1000,918,775,0.00470279995352029800,1.08928275032032972902,0.09344440000131726265,1.08928275032032972902,True,1000,30,2156
1000,869,935,0.00462250004056841135,1.15226813188533450116,0.05829259997699409723,1.15226813188533450116,True,1000,31,2157
1000,954,426,0.00518800003919750452,1.22282082065572006435,0.05922150000697001815,1.22282082065572006435,True,1000,32,2158
1000,897,647,0.00625669996952638030,1.25225836892840880488,0.05558460002066567540,1.25225836892840880488,True,1000,33,2159
1000,345,417,0.00495040003443136811,1.12807357210065561937,0.05841579998377710581,1.12807357210065561937,True,1000,34,2160
1000,346,238,0.00494140002410858870,1.09655424391669664708,0.06001889996696263552,1.09655424391669664708,True,1000,35,2161
1000,462,49,0.00468190002720803022,1.08598423217771555827,0.05887459998484700918,1.08598423217771555827,True,1000,36,2162
1000,317,828,0.00513820000924170017,0.94404579729837645452,0.06104429997503757477,0.94404579729837645452,True,1000,37,2163
1000,857,439,0.00457410002127289772,1.05341031665079620794,0.05939359997864812613,1.05341031665079620794,True,1000,38,2164
1000,30,813,0.00465419999090954661,1.14293232062883176603,0.06149069999810308218,1.14293232062883176603,True,1000,39,2165
1000,959,507,0.00610679999226704240,1.19284822343765606334,0.06142550002550706267,1.19284822343765606334,True,1000,40,2166
1000,183,188,0.00457250000908970833,0.95975662236850567410,0.06054599996423348784,0.95975662236850567410,True,1000,41,2167
1000,692,134,0.00548950000666081905,0.98088126454512702956,0.05978769995272159576,0.98088126454512702956,True,1000,42,2168
1000,816,546,0.00616769999032840133,1.21467068738627492763,0.05860670004040002823,1.21467068738627492763,True,1000,43,2169
1000,407,577,0.00488759996369481087,1.18285097450093834581,0.06233310000970959663,1.18285097450093834581,True,1000,44,2170
1000,119,812,0.00469769997289404273,0.98518689232596035055,0.09042179997777566314,0.98518689232596035055,True,1000,45,2171
1000,914,0,0.00601529999403283000,1.27198178977135878398,0.05926050001289695501,1.27198178977135878398,True,1000,46,2172
1000,883,953,0.00491929997224360704,1.07920798949696328251,0.05904270004248246551,1.07920798949696328251,True,1000,47,2173
1000,121,276,0.00469370000064373016,0.94831760522310470929,0.06127390003530308604,0.94831760522310470929,True,1000,48,2174
1000,886,606,0.00520840001991018653,0.86943447936236728513,0.05874649999896064401,0.86943447936236728513,True,1000,49,2175
